SHOVEL,DUMPER ,LEAD,COMBINATION,CODE,CELING ,STD TRIP
S05,D14,L11,S05D14L11,387,932,14
S05,D14,L12,S05D14L12,388,933,14
S55,D02,L01,S55D02L01,389,913,37
S55,D02,L02,S55D02L02,390,877,25
S55,D02,L03,S55D02L03,391,864,22
S55,D02,L04,S55D02L04,392,890,21
S55,D02,L05,S55D02L05,393,891,20
S55,D02,L06,S55D02L06,394,885,19
S55,D02,L07,S55D02L07,395,828,18
S55,D02,L08,S55D02L08,396,831,17
S55,D02,L09,S55D02L09,397,821,16
S55,D02,L10,S55D02L10,398,843,16
S55,D02,L11,S55D02L11,399,848,16
S55,D02,L12,S55D02L12,400,870,16
S55,D03,L01,S55D03L01,401,864,38
S55,D03,L02,S55D03L02,402,877,26
S55,D03,L03,S55D03L03,403,864,23
S55,D03,L04,S55D03L04,404,885,23
S55,D03,L05,S55D03L05,405,875,22
S55,D03,L06,S55D03L06,406,890,21
S55,D03,L07,S55D03L07,407,891,20
S55,D03,L08,S55D03L08,408,885,19
S55,D03,L09,S55D03L09,409,828,18
S55,D03,L10,S55D03L10,410,831,17
S55,D03,L11,S55D03L11,411,831,16
S55,D03,L12,S55D03L12,412,831,15
S55,D04,L01,S55D04L01,413,869,58
S55,D04,L02,S55D04L02,414,830,33
S55,D04,L03,S55D04L03,415,819,27
S55,D04,L04,S55D04L04,416,873,24
S55,D04,L05,S55D04L05,417,880,23
S55,D04,L06,S55D04L06,418,880,22
S55,D04,L07,S55D04L07,419,888,21
S55,D04,L08,S55D04L08,420,888,20
S55,D04,L09,S55D04L09,421,902,20
S55,D04,L10,S55D04L10,422,903,19
S55,D04,L11,S55D04L11,423,932,20
S55,D04,L12,S55D04L12,424,933,20
S55,D12,L01,S55D12L01,425,913,26
S55,D12,L02,S55D12L02,426,877,18
S55,D12,L03,S55D12L03,427,864,15
S55,D12,L04,S55D12L04,428,890,15
S55,D12,L05,S55D12L05,429,891,14
S55,D12,L06,S55D12L06,430,885,13
S55,D12,L07,S55D12L07,431,828,13
S55,D12,L08,S55D12L08,432,831,12
S55,D12,L09,S55D12L09,433,821,11
S55,D12,L10,S55D12L10,434,843,11
S55,D12,L11,S55D12L11,435,848,11
S55,D12,L12,S55D12L12,436,870,11
S55,D13,L01,S55D13L01,437,864,27
S55,D13,L02,S55D13L02,438,877,18
S55,D13,L03,S55D13L03,439,864,16
S55,D13,L04,S55D13L04,440,885,16
S55,D13,L05,S55D13L05,441,875,15
S55,D13,L06,S55D13L06,442,890,15
S55,D13,L07,S55D13L07,443,891,14
S55,D13,L08,S55D13L08,444,885,13
S55,D13,L09,S55D13L09,445,828,13
S55,D13,L10,S55D13L10,446,831,12
S55,D13,L11,S55D13L11,447,831,11
S55,D13,L12,S55D13L12,448,831,11
S55,D14,L01,S55D14L01,449,869,41
S55,D14,L02,S55D14L02,450,830,23
S55,D14,L03,S55D14L03,451,819,19
S55,D14,L04,S55D14L04,452,873,17
S55,D14,L05,S55D14L05,453,880,16
S55,D14,L06,S55D14L06,454,880,15
S55,D14,L07,S55D14L07,455,888,15
S55,D14,L08,S55D14L08,456,888,14
S55,D14,L09,S55D14L09,457,902,14
S55,D14,L10,S55D14L10,458,903,13
S55,D14,L11,S55D14L11,459,932,14
S55,D14,L12,S55D14L12,460,933,14
